id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount
69,32,Male,135861,88,5,16,Electronics,103.33
71,23,Female,66376,60,1,18,Electronics,77.73
73,31,Female,112452,21,1,5,Groceries,552.21
74,38,Female,102944,63,8,9,Home & Garden,92.69
76,60,Female,131101,68,8,28,Home & Garden,522.95
77,49,Male,30708,4,1,36,Groceries,990.0
82,36,Female,148542,60,1,17,Groceries,15.66
83,36,Female,99427,94,8,15,Sports,265.04
84,56,Male,58971,77,9,35,Electronics,13.16
85,19,Male,101100,43,3,14,Clothing,392.36
87,59,Male,47990,3,10,48,Home & Garden,755.92
88,31,Male,55100,20,7,31,Sports,59.84
93,65,Male,62792,83,8,11,Electronics,230.58
96,23,Male,108480,46,10,21,Clothing,377.31
98,49,Male,46695,99,9,26,Clothing,674.7
100,26,Female,59496,58,2,50,Clothing,23.33
101,40,Female,115569,1,2,5,Groceries,241.91
102,18,Male,49346,70,7,38,Groceries,127.14
103,19,Male,75430,50,7,32,Clothing,532.51
104,60,Female,142407,4,2,1,Sports,29.58
106,55,Female,147187,37,7,27,Electronics,941.67
108,65,Male,81753,72,9,21,Home & Garden,633.63
109,57,Female,81695,90,8,44,Electronics,179.8
110,56,Female,40676,86,7,38,Home & Garden,627.65
111,37,Male,111242,33,5,34,Sports,756.32
112,64,Male,87006,85,7,20,Clothing,930.73
113,58,Male,82856,33,7,20,Groceries,450.72
114,32,Male,35514,4,5,36,Sports,415.44
115,64,Male,87595,11,5,21,Electronics,69.78
116,59,Male,125014,89,7,42,Home & Garden,451.82
117,62,Male,128322,44,4,31,Electronics,668.91
118,62,Male,48693,36,9,44,Home & Garden,755.67
119,33,Male,113154,75,8,46,Groceries,895.58
120,68,Female,78309,12,2,49,Clothing,848.14
121,47,Female,112072,50,5,21,Groceries,884.19
122,43,Male,42855,66,6,23,Electronics,138.51
124,30,Male,51454,94,8,17,Home & Garden,553.35
126,26,Female,69795,60,9,29,Electronics,389.37
127,58,Male,32860,90,5,18,Sports,405.05
130,61,Female,131607,25,7,26,Clothing,714.15
131,51,Male,42337,70,9,28,Sports,914.97
132,67,Female,116124,78,10,28,Home & Garden,11.29
134,26,Male,62131,91,6,18,Sports,70.56
135,29,Female,100290,85,8,29,Clothing,480.87
136,31,Male,145261,25,10,37,Sports,378.4
137,48,Male,81763,49,6,46,Sports,179.25
138,67,Female,120561,66,2,21,Clothing,798.2
139,18,Female,99638,33,8,23,Groceries,316.27
140,18,Female,78097,84,3,26,Clothing,453.34
142,37,Male,61695,13,5,45,Home & Garden,18.49
144,41,Female,82613,49,3,10,Home & Garden,421.24
147,69,Male,90929,2,10,29,Electronics,518.7
148,47,Female,104517,91,2,6,Home & Garden,979.41
150,54,Male,100745,29,6,42,Clothing,335.15
152,45,Female,79721,20,1,1,Home & Garden,215.41
153,43,Male,33030,61,8,40,Groceries,711.04
156,24,Female,103766,77,4,25,Home & Garden,663.21
157,69,Female,51990,59,2,37,Clothing,762.41
161,69,Female,117782,18,1,15,Sports,762.55
163,45,Male,76259,72,5,41,Sports,228.88
166,41,Female,48155,19,10,36,Groceries,566.65
169,51,Female,58930,95,5,33,Sports,115.09
170,37,Male,33987,60,8,39,Groceries,975.1
171,21,Male,140801,13,3,43,Home & Garden,82.88
172,19,Male,98446,25,4,34,Groceries,696.59
173,56,Female,111754,96,8,38,Home & Garden,631.06
175,33,Female,81766,86,1,16,Sports,160.11
176,34,Male,79572,62,2,24,Sports,843.15
178,67,Female,130300,75,5,27,Electronics,94.32
179,45,Female,102050,57,8,39,Groceries,263.93
180,48,Male,121325,30,3,35,Home & Garden,624.36
181,49,Male,76202,83,3,6,Groceries,208.79
182,40,Male,136323,36,6,25,Electronics,625.28
183,43,Female,32512,95,4,49,Home & Garden,223.39
184,27,Male,63313,8,10,42,Groceries,35.01
185,41,Female,104337,91,6,27,Home & Garden,401.63
187,35,Male,137307,32,6,24,Electronics,111.27
188,55,Male,77060,14,2,16,Sports,286.79
189,45,Male,108335,62,1,35,Electronics,940.93
191,35,Male,100208,80,2,27,Electronics,23.73
193,69,Female,39509,10,6,27,Groceries,377.66
194,69,Male,74519,95,10,42,Clothing,931.51
196,48,Male,108550,5,6,35,Home & Garden,410.05
197,34,Female,56125,66,10,26,Home & Garden,610.66
198,39,Male,116566,76,9,21,Groceries,32.38
199,45,Female,82014,30,10,15,Groceries,81.91
200,63,Female,113240,47,9,22,Clothing,279.96
201,45,Male,111788,28,9,49,Groceries,628.43
202,25,Male,30570,16,8,44,Sports,971.09
204,49,Male,100258,53,6,27,Home & Garden,436.43
205,27,Male,132541,78,8,42,Electronics,825.01
206,34,Male,97962,18,3,19,Electronics,947.73
207,58,Male,48714,75,10,40,Sports,324.91
208,59,Female,70050,62,3,10,Clothing,49.53
209,60,Female,124416,24,5,39,Home & Garden,544.04
211,40,Female,83445,89,7,11,Clothing,356.35
213,47,Female,121498,29,9,28,Sports,706.37
214,33,Male,84883,43,2,49,Home & Garden,956.03
217,46,Female,82034,19,2,45,Sports,635.93
218,55,Female,147024,24,9,16,Electronics,169.79
219,57,Male,33009,82,9,24,Clothing,563.64
220,69,Male,142216,90,7,29,Electronics,559.73
221,62,Male,82623,51,8,37,Clothing,155.14
223,53,Female,146546,12,6,45,Sports,915.02
224,51,Female,33665,12,2,2,Groceries,139.07
225,54,Female,92156,18,7,14,Electronics,238.87
226,19,Female,51355,48,8,28,Home & Garden,278.21
227,65,Male,89274,71,10,34,Electronics,840.45
228,53,Male,57651,27,7,16,Home & Garden,345.62
230,56,Male,31154,40,4,25,Electronics,197.54
231,24,Female,147572,44,7,45,Electronics,204.27
232,66,Male,144573,41,7,24,Groceries,66.6
233,41,Female,88312,22,6,31,Groceries,212.53
234,29,Female,96066,45,7,24,Sports,479.36
235,19,Female,41542,21,1,22,Groceries,132.88
239,64,Female,124599,41,9,41,Groceries,924.18
240,44,Female,121975,33,6,27,Groceries,640.96
241,41,Female,41748,50,8,5,Sports,35.16
242,31,Female,125501,74,3,18,Electronics,947.76
244,47,Female,108356,84,6,19,Home & Garden,911.0
246,44,Male,83880,31,6,32,Electronics,464.42
249,54,Female,134743,98,9,42,Sports,894.21
250,47,Male,91491,52,5,10,Home & Garden,21.43
251,43,Male,89688,27,10,30,Electronics,223.64
257,26,Male,134203,19,3,28,Sports,935.64
259,68,Male,49725,59,2,35,Groceries,12.36
260,39,Female,56381,82,6,19,Sports,759.6
264,57,Female,31451,75,3,8,Electronics,611.79
265,63,Male,142287,77,10,44,Clothing,785.29
267,57,Female,114972,42,9,12,Home & Garden,999.74
269,33,Female,118116,100,9,48,Sports,21.9
270,28,Female,49020,75,9,49,Electronics,109.03
271,69,Male,47458,14,2,10,Groceries,874.32
272,52,Female,104033,6,5,15,Clothing,192.31
276,39,Female,39931,43,1,28,Groceries,261.36
278,63,Male,48225,24,6,14,Clothing,764.05
280,53,Female,61826,96,1,14,Clothing,577.0
282,34,Male,68250,9,10,26,Clothing,835.06
283,33,Male,113187,27,9,46,Electronics,886.3
284,43,Male,77006,27,3,36,Electronics,223.98
285,63,Female,121652,20,1,26,Sports,169.58
286,51,Male,124670,66,2,43,Clothing,184.8
287,31,Male,119460,69,2,22,Clothing,486.21
288,56,Male,117922,69,2,41,Home & Garden,98.83
289,38,Male,84577,70,7,27,Sports,631.28
290,43,Male,64136,61,1,19,Electronics,680.92
291,45,Female,57845,32,6,41,Clothing,934.34
297,40,Male,97995,47,4,9,Sports,101.35
298,39,Male,132488,40,5,37,Sports,82.16
299,59,Male,36383,5,6,31,Groceries,82.77
301,52,Female,106147,2,6,19,Groceries,412.65
303,59,Female,57745,33,7,42,Electronics,492.87
304,50,Female,78296,93,9,47,Electronics,559.16
305,32,Male,39407,50,6,13,Sports,844.22
306,48,Male,39407,82,5,27,Sports,463.07
308,54,Female,76995,14,3,46,Electronics,685.09
309,64,Female,96182,44,4,8,Groceries,509.31
310,50,Male,100320,45,7,29,Sports,139.39
311,53,Male,138922,45,5,22,Electronics,154.06
312,30,Male,143200,38,8,30,Sports,684.43
314,44,Male,141748,55,2,50,Groceries,897.57
315,68,Female,62971,27,8,17,Electronics,85.45
316,20,Female,57260,47,2,49,Electronics,506.7
320,34,Male,31668,43,5,40,Clothing,117.01
321,43,Female,78858,4,3,38,Sports,261.19
324,30,Male,119162,15,9,38,Home & Garden,937.85
327,50,Male,36022,11,6,49,Clothing,801.59
328,41,Female,64634,55,9,44,Groceries,488.07
330,28,Male,51087,60,4,42,Groceries,68.31
331,30,Male,90651,88,9,37,Groceries,555.41
335,60,Male,145308,83,3,31,Groceries,53.26
337,58,Male,60768,88,2,38,Groceries,67.52
339,28,Female,111697,92,9,50,Sports,205.58
342,69,Female,71688,69,4,25,Clothing,532.23
343,32,Male,48445,91,8,27,Home & Garden,265.17
344,41,Male,136928,42,5,33,Home & Garden,239.72
345,33,Male,112118,27,10,9,Clothing,535.28
346,62,Female,114587,14,7,11,Electronics,26.72
347,38,Female,42378,36,5,20,Sports,279.77
348,39,Female,136141,58,6,30,Home & Garden,211.56
349,44,Male,32030,38,2,19,Sports,912.15
350,56,Female,148694,44,7,13,Electronics,326.5
352,47,Female,54571,57,4,2,Electronics,138.3
358,57,Male,137205,18,1,21,Electronics,862.12
359,50,Male,85888,19,2,25,Groceries,910.52
360,38,Male,40590,91,7,27,Electronics,617.64
361,28,Female,130938,98,5,37,Electronics,612.09
362,21,Male,107934,32,5,38,Home & Garden,533.18
367,65,Female,65576,91,5,12,Clothing,782.55
368,53,Female,130474,74,10,39,Home & Garden,217.92
370,23,Female,30751,99,9,26,Electronics,696.9
371,20,Male,87520,93,4,3,Groceries,459.87
372,39,Female,53805,71,5,16,Sports,372.03
375,33,Female,58367,11,4,29,Groceries,826.87
376,25,Female,56110,36,5,42,Electronics,389.97
377,46,Male,123037,100,1,9,Home & Garden,617.74
378,45,Female,110174,87,5,32,Home & Garden,388.15
379,41,Female,30074,95,8,19,Clothing,78.82
381,67,Female,104036,56,10,37,Sports,998.98
383,65,Male,124796,4,5,38,Sports,247.96
384,46,Male,120914,1,1,41,Home & Garden,329.9
385,38,Male,78829,73,7,20,Sports,665.25
386,69,Male,105810,57,6,28,Groceries,985.94
387,51,Female,105658,49,9,9,Electronics,785.55
388,25,Female,100053,6,5,33,Electronics,832.57
390,37,Male,65343,89,3,2,Electronics,668.23
391,67,Female,101759,57,3,19,Sports,670.51
392,28,Male,59278,60,2,8,Home & Garden,362.41
393,55,Female,127542,79,8,12,Clothing,632.6
394,69,Female,74331,83,9,11,Clothing,341.63
395,69,Female,119075,40,8,44,Home & Garden,866.72
398,48,Male,36282,14,10,3,Sports,210.43
399,19,Female,69790,3,9,38,Groceries,596.63
400,41,Female,147962,90,2,9,Clothing,688.61
402,63,Male,149062,66,9,7,Clothing,441.11
404,36,Male,30121,39,10,16,Groceries,233.08
405,21,Male,42889,12,2,20,Home & Garden,789.92
409,63,Female,70967,59,6,10,Home & Garden,954.05
410,20,Female,98213,12,5,37,Home & Garden,902.24
411,43,Female,89856,96,3,2,Clothing,114.47
413,19,Female,105731,9,7,10,Home & Garden,421.08
414,69,Female,117737,6,4,9,Groceries,877.51
415,57,Male,52164,53,3,36,Groceries,710.84
418,51,Female,97565,48,10,31,Clothing,656.9
420,46,Male,60671,57,5,48,Home & Garden,817.69
421,46,Female,90871,56,4,39,Clothing,592.97
423,62,Female,96260,30,6,45,Electronics,159.13
424,56,Male,134502,46,5,5,Groceries,394.49
425,41,Male,67039,100,1,36,Electronics,178.68
427,47,Female,49336,11,10,11,Sports,877.17
429,20,Male,49308,29,6,19,Electronics,351.64
431,40,Male,99618,80,4,22,Groceries,15.04
432,29,Female,133291,52,4,42,Clothing,916.28
433,44,Female,100832,90,8,39,Electronics,769.0
434,57,Male,60668,66,6,28,Electronics,984.6
435,32,Female,69782,76,1,9,Home & Garden,803.28
438,47,Female,95033,25,3,35,Electronics,273.38
439,63,Female,118402,74,3,12,Sports,828.04
440,23,Female,130546,71,9,36,Sports,799.33
441,46,Male,68970,50,9,46,Clothing,392.35
442,26,Female,84460,45,1,33,Clothing,219.67
445,62,Female,75974,68,4,46,Groceries,180.09
446,53,Male,56570,29,7,37,Electronics,432.65
448,31,Female,46106,72,7,2,Sports,59.82
449,50,Male,46524,1,4,7,Home & Garden,371.62
450,48,Male,60382,13,3,27,Electronics,694.59
452,45,Female,93800,33,10,32,Sports,391.45
453,30,Male,35565,83,8,17,Electronics,238.79
454,27,Male,143992,31,2,32,Home & Garden,994.1
458,62,Male,32827,69,8,2,Groceries,468.37
460,55,Female,105647,94,1,14,Sports,737.91
461,41,Male,141605,100,4,20,Home & Garden,693.02
462,57,Female,46563,86,4,24,Electronics,800.46
463,53,Male,37569,18,8,50,Clothing,634.92
464,65,Female,138529,87,10,14,Sports,461.61
465,54,Female,40858,48,6,20,Clothing,34.88
467,25,Male,99668,1,1,50,Groceries,937.86
468,54,Male,32276,73,2,44,Clothing,554.58
471,32,Male,38683,59,10,47,Groceries,846.85
473,53,Female,104435,42,4,34,Home & Garden,795.81
474,54,Female,111261,56,1,44,Groceries,216.09
476,38,Male,144083,23,1,28,Groceries,158.15
477,42,Male,115342,19,4,47,Sports,13.69
479,58,Female,137836,19,9,21,Electronics,172.39
480,19,Female,35529,62,4,24,Clothing,177.69
481,54,Male,105641,17,9,37,Sports,173.81
483,44,Female,43069,55,6,33,Groceries,501.34
484,40,Male,61052,44,4,17,Groceries,135.19
485,65,Male,39113,85,9,42,Home & Garden,964.87
487,22,Female,104781,64,8,38,Home & Garden,151.48
489,26,Female,96845,19,1,5,Home & Garden,154.89
490,19,Female,113254,38,5,35,Clothing,633.5
491,22,Female,46900,70,1,24,Groceries,325.46
492,39,Male,84725,100,8,49,Sports,906.07
493,51,Female,120616,71,1,16,Clothing,542.03
494,35,Male,141134,24,4,48,Sports,649.61
495,59,Male,140809,45,5,45,Sports,917.5
496,33,Female,65486,76,2,11,Sports,302.05
497,56,Male,145254,48,6,43,Sports,422.32
498,54,Female,43308,56,5,50,Electronics,667.92
499,25,Male,33065,61,7,40,Groceries,317.98
500,47,Male,69168,16,7,42,Clothing,638.96
501,42,Male,129999,73,5,2,Clothing,942.97
502,61,Female,41730,2,9,20,Electronics,177.64
503,22,Male,75626,52,7,34,Electronics,154.67
505,22,Male,53863,96,10,41,Electronics,491.64
506,66,Male,149505,79,4,8,Sports,334.95
507,58,Male,132215,91,8,6,Sports,275.71
510,19,Male,111238,7,2,30,Sports,813.37
512,33,Male,132968,49,10,45,Sports,641.53
513,19,Male,82506,10,5,41,Sports,406.32
514,69,Female,58668,40,2,15,Home & Garden,626.35
515,28,Male,66961,8,10,22,Groceries,179.82
518,45,Female,110280,85,4,21,Groceries,944.07
519,45,Female,67753,64,4,48,Sports,926.69
520,38,Male,54918,1,6,6,Electronics,979.26
522,29,Female,51471,96,3,13,Home & Garden,668.21
523,32,Female,58144,4,5,16,Electronics,923.37
525,33,Female,90232,19,2,8,Clothing,255.08
526,52,Male,133701,64,1,34,Clothing,534.25
527,62,Female,117704,37,3,48,Sports,112.11
528,23,Female,144577,75,1,9,Clothing,826.02
529,57,Male,139366,39,5,50,Sports,34.5
530,27,Male,106944,63,1,28,Sports,36.39
531,61,Male,92031,44,7,11,Sports,573.31
532,19,Male,146165,38,9,45,Home & Garden,819.92
534,28,Male,121073,44,3,16,Sports,482.35
536,62,Female,74474,49,2,18,Sports,933.65
537,48,Female,57932,70,9,44,Home & Garden,192.46
538,39,Male,49970,53,5,24,Groceries,728.58
539,27,Male,73823,11,8,23,Electronics,27.4
540,36,Male,37595,88,8,49,Groceries,600.48
541,33,Female,103063,16,3,4,Electronics,998.51
543,68,Female,40478,22,4,46,Groceries,954.91
544,66,Female,126893,3,1,32,Clothing,199.17
545,23,Female,123168,80,4,19,Clothing,860.95
548,22,Female,93861,42,6,6,Home & Garden,73.13
549,39,Male,30004,32,6,48,Sports,863.47
550,53,Male,47499,85,2,45,Sports,338.69
551,50,Male,43965,83,3,17,Electronics,83.38
552,20,Male,51199,100,5,5,Clothing,889.83
553,69,Male,51759,18,9,14,Sports,563.48
554,61,Female,54256,78,3,3,Home & Garden,886.44
556,25,Female,52403,53,1,14,Groceries,73.34
557,45,Male,95367,83,5,30,Home & Garden,845.33
558,40,Male,62536,84,4,28,Sports,149.07
559,33,Male,121639,17,7,28,Home & Garden,422.14
560,63,Male,82296,61,4,43,Home & Garden,390.89
562,18,Male,143235,46,10,31,Groceries,143.75
563,23,Male,143899,10,3,47,Groceries,361.81
566,29,Male,60262,56,4,27,Clothing,452.32
568,45,Female,41917,58,8,5,Home & Garden,870.38
569,29,Female,59815,43,6,24,Groceries,105.48
571,36,Female,31458,40,4,6,Electronics,371.77
572,19,Male,134193,95,7,44,Electronics,97.65
573,40,Female,143338,6,8,26,Groceries,491.07
575,49,Male,55027,62,2,1,Clothing,962.9
576,51,Female,149256,96,1,31,Electronics,266.83
577,32,Female,46610,92,5,9,Groceries,409.85
578,64,Male,43175,59,10,35,Electronics,363.86
579,21,Female,71227,17,10,12,Electronics,101.48
580,51,Female,149744,99,1,12,Groceries,215.92
581,46,Male,129568,56,10,27,Clothing,766.26
582,19,Male,135968,50,4,49,Electronics,174.43
583,33,Male,38240,92,3,37,Home & Garden,626.82
584,30,Male,114808,23,9,6,Clothing,74.08
585,51,Female,37310,6,5,14,Sports,706.18
590,33,Male,93599,22,4,37,Sports,274.96
591,53,Male,108263,21,1,47,Electronics,734.48
592,22,Male,100730,4,5,10,Sports,459.58
593,62,Female,148501,41,9,32,Sports,980.47
596,46,Male,73370,2,4,29,Home & Garden,486.5
597,50,Male,132598,57,7,21,Home & Garden,930.91
600,52,Male,127010,76,8,26,Sports,13.46
601,53,Female,137854,33,10,47,Groceries,523.27
602,20,Male,145924,64,5,18,Electronics,495.49
603,33,Female,53219,33,4,47,Clothing,251.23
604,47,Male,64592,25,4,12,Home & Garden,237.34
605,18,Female,144275,69,9,27,Electronics,141.72
606,39,Male,48641,45,3,46,Home & Garden,415.19
607,30,Male,102200,88,5,47,Home & Garden,131.84
610,23,Female,83912,28,6,31,Home & Garden,98.32
611,42,Female,63444,72,4,40,Home & Garden,166.45
612,33,Female,38271,39,10,43,Electronics,99.52
614,64,Female,116106,5,1,5,Clothing,25.86
615,69,Male,141965,98,5,35,Electronics,616.66
616,43,Male,38012,55,3,24,Groceries,943.37
621,20,Male,122028,40,3,6,Electronics,777.44
623,30,Female,97829,99,4,27,Clothing,320.95
625,41,Male,36763,50,5,36,Home & Garden,490.62
626,19,Male,138008,8,9,15,Groceries,116.8
627,27,Female,96762,22,3,10,Electronics,551.43
629,65,Male,84223,83,7,46,Groceries,971.93
630,64,Female,145746,76,2,48,Home & Garden,49.06
631,47,Female,108766,37,7,38,Groceries,640.55
632,29,Female,72125,41,5,31,Sports,507.62
633,43,Female,97989,14,6,49,Electronics,886.61
635,23,Female,122669,15,3,4,Electronics,248.68
636,24,Female,93266,20,1,4,Clothing,636.29
638,34,Female,60489,95,3,38,Home & Garden,304.86
639,68,Male,57700,70,8,46,Groceries,178.21
640,57,Male,97035,28,6,42,Home & Garden,741.41
642,34,Female,114408,38,7,28,Electronics,647.35
643,64,Female,92888,2,7,50,Sports,84.98
644,54,Male,132403,83,3,2,Sports,45.2
646,62,Male,113856,78,6,50,Electronics,720.47
648,43,Female,67979,49,2,6,Groceries,420.03
649,27,Male,147360,96,3,26,Sports,26.1
651,27,Female,113174,36,3,46,Electronics,499.07
653,41,Male,140959,35,7,14,Home & Garden,232.42
654,48,Male,82356,97,1,35,Sports,204.55
657,27,Male,81110,44,6,8,Electronics,654.05
658,61,Male,145578,79,2,34,Clothing,762.06
660,54,Female,89035,14,4,11,Sports,138.81
661,69,Female,34122,50,4,27,Sports,758.44
663,30,Female,76658,70,3,32,Groceries,760.27
665,37,Male,105623,26,5,47,Home & Garden,94.79
667,29,Female,135394,53,9,36,Clothing,30.13
668,27,Female,48576,29,7,29,Sports,976.83
669,52,Male,87717,79,6,44,Clothing,95.17
671,34,Male,54274,27,2,17,Home & Garden,954.46
672,30,Male,94803,76,6,33,Home & Garden,596.98
673,47,Female,40790,36,1,4,Clothing,913.84
675,64,Female,67704,12,6,17,Home & Garden,126.15
676,64,Female,48169,39,5,33,Groceries,451.86
677,51,Female,146159,99,7,38,Groceries,808.89
679,46,Female,112770,6,10,27,Sports,559.73
682,61,Male,136973,27,7,2,Electronics,269.2
683,27,Female,89855,54,10,37,Home & Garden,750.51
684,42,Male,56378,8,9,18,Clothing,880.45
685,37,Male,104041,64,9,49,Home & Garden,117.52
686,30,Male,115674,78,2,48,Clothing,621.73
687,59,Male,65196,22,2,36,Home & Garden,625.33
688,30,Male,94970,15,4,11,Sports,250.07
690,39,Female,141586,50,4,46,Clothing,659.67
692,23,Male,57558,28,6,23,Electronics,800.78
693,28,Female,142450,80,3,22,Groceries,471.87
694,64,Male,32144,76,2,28,Sports,902.66
695,45,Male,53474,79,8,21,Electronics,40.32
696,61,Male,89720,4,9,8,Groceries,795.49
697,36,Female,114281,99,7,6,Sports,217.78
700,31,Male,33604,8,5,2,Electronics,984.15
701,31,Male,148121,34,9,32,Groceries,753.49
702,26,Female,42499,92,9,50,Electronics,37.57
703,26,Female,56466,61,3,12,Home & Garden,358.22
704,52,Female,58805,14,2,47,Sports,104.35
705,42,Male,49140,23,9,35,Clothing,400.23
706,29,Female,102972,68,3,39,Clothing,258.09
707,47,Female,128439,42,5,22,Sports,219.02
708,68,Male,47482,100,9,49,Clothing,170.56
709,44,Female,118123,40,8,31,Clothing,140.52
710,43,Female,43545,67,5,41,Electronics,179.71
712,18,Male,141318,37,6,28,Home & Garden,428.33
713,19,Female,76416,26,6,20,Electronics,385.1
714,30,Male,100115,54,2,36,Sports,789.67
716,48,Female,74273,23,10,46,Sports,626.27
717,47,Male,136278,76,10,48,Clothing,233.64
718,57,Female,108833,77,3,37,Home & Garden,623.78
719,21,Female,119226,21,8,50,Sports,772.63
721,27,Male,114848,66,10,38,Groceries,912.58
722,45,Male,127989,99,1,42,Home & Garden,683.99
723,20,Male,48504,27,3,28,Groceries,658.54
725,48,Female,108563,3,8,39,Clothing,15.72
729,50,Male,86985,77,8,11,Sports,964.1
730,19,Male,85349,77,8,29,Home & Garden,381.04
731,53,Female,52855,12,5,33,Groceries,444.09
733,49,Male,56707,6,8,29,Electronics,604.53
736,52,Female,130875,76,10,14,Clothing,979.39
737,28,Male,104971,74,4,10,Clothing,297.17
738,18,Female,136320,52,5,42,Electronics,891.19
739,61,Male,113380,27,2,17,Electronics,177.5
740,62,Female,119083,18,4,28,Electronics,317.78
741,50,Female,50944,24,3,36,Electronics,121.22
743,64,Male,132277,81,5,30,Sports,505.24
744,56,Male,90816,20,10,35,Electronics,808.16
745,30,Female,64288,93,9,43,Groceries,825.85
746,60,Male,34657,99,10,3,Electronics,983.3
747,26,Male,44725,40,10,17,Groceries,307.42
748,57,Female,58696,69,4,29,Groceries,570.87
749,22,Male,73023,30,1,19,Home & Garden,661.7
751,63,Male,37201,60,6,46,Groceries,90.96
752,31,Male,85928,10,2,40,Home & Garden,34.1
754,52,Male,49342,77,7,29,Groceries,622.86
755,61,Male,59583,11,8,27,Clothing,744.56
756,30,Female,111050,61,10,32,Electronics,213.88
757,19,Female,129687,78,3,43,Home & Garden,679.67
758,35,Male,94896,36,6,4,Home & Garden,102.23
760,27,Male,80545,63,6,46,Sports,575.98
761,47,Male,112510,1,2,10,Home & Garden,618.2
762,57,Male,145190,42,9,8,Sports,971.83
763,63,Male,115204,12,2,19,Home & Garden,910.59
764,61,Female,116123,96,2,27,Sports,844.95
769,19,Male,85583,61,5,43,Sports,316.35
770,61,Male,32692,18,8,28,Groceries,709.33
772,26,Female,79842,78,9,5,Clothing,557.41
773,51,Female,70099,42,7,12,Groceries,481.56
774,52,Male,52167,19,5,50,Home & Garden,961.55
775,24,Male,51225,21,6,31,Sports,235.64
776,31,Female,123947,25,2,39,Groceries,355.67
778,46,Female,78023,83,7,28,Sports,270.15
781,53,Male,147355,10,2,38,Home & Garden,866.3
782,22,Male,118840,32,9,9,Electronics,819.14
785,45,Female,88366,22,10,24,Electronics,253.64
786,30,Male,43192,61,1,27,Sports,614.39
788,33,Male,38558,71,8,22,Home & Garden,223.73
789,25,Female,52575,77,5,13,Clothing,112.22
790,61,Male,96409,66,1,32,Sports,674.93
791,59,Female,97756,89,6,3,Home & Garden,318.74
793,63,Female,123481,26,1,26,Home & Garden,386.51
794,50,Male,103921,58,2,3,Electronics,687.32
795,33,Female,45432,11,4,42,Electronics,990.34
796,47,Male,92114,17,7,8,Home & Garden,997.15
797,47,Male,86651,54,3,49,Home & Garden,678.41
799,25,Male,107042,27,1,32,Clothing,648.79
802,51,Male,107033,96,3,42,Groceries,992.17
803,64,Male,127745,72,2,11,Groceries,192.17
804,59,Female,58656,47,6,6,Groceries,246.07
805,51,Female,97660,3,7,30,Sports,145.66
806,49,Male,69864,92,10,25,Groceries,522.78
807,24,Male,68172,6,1,28,Clothing,445.3
808,33,Male,127302,43,1,40,Groceries,785.52
810,35,Male,83547,27,7,40,Electronics,570.08
811,27,Female,78001,50,5,17,Home & Garden,117.03
813,19,Male,68304,9,10,28,Sports,864.57
815,53,Female,58486,87,8,23,Home & Garden,409.35
